名前,ジャンル,URL
フリースクールコンコン,フリースクール,https://teacherteacher.studio.site/school
オフトコ,親の会,https://www.instagram.com/off.toko/
あさかプレーパークの会,子どもの居場所,https://app.45web.net/
ぷらっとほーむグループ埼玉県, 親の会,https://www.instagram.com/plathome.group.futoukou/
ぷらっとほーむ朝霞, 親の会,https://www.instagram.com/plathomeasaka/
ぷらっとほーむ　にいざ＋, 親の会,https://www.instagram.com/plathome.niizaplus/
ぷらっとほーむ 居場所・学習支援,子どもの居場所,https://www.instagram.com/plathome_ibasyo.manabi/
跡見学園女子大学 不登校を考える親の会,親の会,https://www.atomi.ac.jp/univ/shinri/parent/
心育会,子どもの居場所,https://www.instagram.com/cocoikukai/
